property,range
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/inventar_raum_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_mass_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objekt_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektbewertung_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objekteigenschaft_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektfarbe_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektformelement_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektherstellungstechnik_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektmaterial_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektmenge_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_objektsonstiges_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/ort_raum_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_objekt_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raum_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumbewertung_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumeigenschaft_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumfarbe_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumformelement_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumherstellungstechnik_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raummaterial_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
