property,domain
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/objekt_originalzitat_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/originalzitat_objekt_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_kleidung_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_koerperteil_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_objekt_attribut,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_objekt_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_objekt_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_objekt_hat_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/person_person_bezug,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_handlung_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_historort_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_objekt_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_originalzitat_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_ort_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/szene_person_child,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/sakral_profan,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/staat,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/standort,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/technik,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/1999/02/22-rdf-syntax-ns#object,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Class
